Família;Produtos;Descrição;Qtd Varejo Reg/Nac;VENDAS EM SP;Participação SP no Varejo
VM;ES323M;PATINETE ELETRICO STREET 8 POL 350W 7,5AH 25KM/H 20KM 120KGS   ;7;0;0,0%
EP;CE188;WAFFLE MAKER COM CONTROLE DE TEMPERATURA 127V   ;7;6;85,7%
AC;OF005;FRAGMENTADORA DE PAPEIS E CARTÕES EM PARTÍCULAS 11L 127V   ;7;0;0,0%
AC;MO241;;7;0;0,0%
BR;BR2448;1:24 HOT WHEELS RC DRIFT X - AZUL E LARANJA   ;7;0;0,0%
BR;BR2199;PELÚCIA STITCH HULA HULA C/ MECANISMO LUZ E SOM 30CM   ;7;0;0,0%
BR;BR1514;PELÚCIA ANGEL CORAÇÃO C/ MECANISMO LUZ E SOM 30CM   ;7;0;0,0%
BR;BR1921;BONECA ARTICULADA ELSA – FROZEN 2 - 38CM   ;7;7;100,0%
BR;BR1276;MY STYLE LIFE CHARMS DELUXE   ;7;5;71,4%
AC;EI152;;7;0;0,0%
AC;CT009;CART. TONER COMPATIVEL P/ SAMSUNG MOD. MLT-D101S   ;7;0;0,0%
BB;BB494;;6;0;0,0%
BB;BB310;;6;0;0,0%
BR;BR2014;JOGO SPACE PINBALL   ;6;0;0,0%
BR;BR1119;MY STYLE PULSEIRAS PERFUMADAS   ;6;6;100,0%
AC;WI446;CABO LIGHTNING 1.2M PRETO (IPHONE)   ;6;0;0,0%
BR;BR2308;CUBIC - CAMINHÃO ESCADA PARA INCÊNDIOS 394 PEÇAS   ;6;1;16,7%
AC;EI057;Quadro Adesivo 45cm x 2m Preto Keep - EI057   ;6;0;0,0%
DC;DJI066;Drone DJI Mini 5 Pro Fly More Combo (Sem tela) BR   ;6;3;50,0%
DC;DJI214;Câmera de Ação DJI Osmo 360 Standard Combo BR   ;6;0;0,0%
BR;BR947;GO PLAY PULA CORDA 2.2 METROS CORES SORTIDAS   ;6;0;0,0%
BR;BR2279;CUBIC MENINAS SORVETERIA 145 PCS   ;6;3;50,0%
VT;100Z670RS;TV Toshiba 100 Polegadas QLED 4K GoogleTV 144Hz Gaming TV - 100Z670RS   ;6;0;0,0%
VM;WS50W_BW;AUTOPROPELIDO WS50 BRANCA WATTS   ;6;0;0,0%
AC;RZ0403970700;;6;1;16,7%
DC;DJI055;Drone DJI Air 3S Fly More Combo (Sem tela) BR   ;6;0;0,0%
BR;BR1196;;6;6;100,0%
AC;CB009;;6;0;0,0%
TE;P9043;;6;6;100,0%
EP;HO462;FERRO DE PASSAR A VAPOR ROXO 127V 1200W COM BASE CERÂMICA, VAPOR EXTRA, FUNÇÃO SPRAY, BASE SALVA BOTÕES, CABO GIRATÓRIO 360° E RESERVATÓRIO COM INDICADOR DE NÍVEL   ;6;0;0,0%
DC;DJI216;Câmera de Ação DJI Osmo Nano (128GB) BR   ;6;0;0,0%
AC;WI327;SMARTOGO CABO IPHONE 8 PINOS PRETO UNITARIO   ;6;0;0,0%
TE;P9165;;6;5;83,3%
TE;P9170;;6;5;83,3%
BR;BR1273;MY STYLE DIY HAND BAG BEADS   ;6;3;50,0%
HC;HC276;;6;0;0,0%
NB;NB441;TABLET HULK M8 WIFI 4/64GB OCTA CORE   ;6;0;0,0%
AC;BO441;;6;0;0,0%
BR;BR2207;;6;6;100,0%
ME;PD603;;6;0;0,0%
AC;CT104S;CART. TONER COMPATIVEL P/ SAMSUNG MOD. MLT-D104S   ;6;0;0,0%
AC;PH702;;6;0;0,0%
BR;BR1115;MY STYLE STRASS   ;6;4;66,7%
IC;HKM512S21A;SSD HIKVISION 2.5 SATA 512 GB   ;6;0;0,0%
HC;HC127;ÓLEO ESSENCIAL DE TEA TREE   ;6;0;0,0%
HC;HC122;OLEO ESSENCIAL DE LAVANDA - 10ML   ;6;0;0,0%
BR;BR1337;1:16 RACING CONTROL RAPTOR - LARANJA   ;6;0;0,0%
BR;BR1328;MY STYLE BEAUTY - MINI ESTOJO PODEROSA   ;6;0;0,0%
BB;BB390;;6;0;0,0%
BB;BB323;;6;0;0,0%
BB;BB491;;6;0;0,0%
BB;BB434;;6;0;0,0%
TE;OB043;;6;6;100,0%
TE;NK041;;6;6;100,0%
IC;HKM01TS21A;SSD HIKVISION 2.5 SATA 1024 GB   ;6;0;0,0%
AC;PH700;HEADSET COM FIO HUGINN WARRIOR P3 CABO 180CM MIC REMOVIVEL DRIVER 50MM BCO   ;6;0;0,0%
EF;LQ703;LIQUIDIFICADOR MULTI TURBO LQ700 700W 3 VELOCIDADES 2,3 LITROS 127V 60HZ VERMELHO   ;5;30;600,0%
DC;DJI060;Drone DJI Flip Standard (Com tela) BR   ;5;0;0,0%
AC;TC220;TECLADO SEM FIO TS300 BLUETOOTH SLIM COMPACTO SILENCIOSO PT   ;5;0;0,0%
BR;BR2327;1:20 RACING CONTROL PINK MANIA   ;5;0;0,0%
AC;AC369;SUPORTE RING LIGHT FLEXIVEL 9,5W COM CLIPE FIXADOR   ;5;3;60,0%
BR;BR1336;1:16 RACING CONTROL RAPTOR - VERMELHO   ;5;0;0,0%
BR;BR1558;MALETA ORELHINHAS MINNIE MÉDICA COM 8 ACESSÓRIOS   ;5;0;0,0%
PR;PR103721;;5;0;0,0%
DC;DJI041;Drone DJI Mini 4 Pro Standard (Sem tela) BR   ;5;5;100,0%
SO;SP510;PULSEBOX 2 DOUBLE 8 1100W RMS   ;5;0;0,0%
BR;BR1618;CUBIC 25 EM 1- SUPER ROBOT 577 PEÇAS   ;5;0;0,0%
BR;BR1459;CUBIC - HELICÓPTERO DE COMBATE 221 PEÇAS   ;5;0;0,0%
NB;NB372;;5;4;80,0%
BR;BR387;CREATIVE FUN CAIXA REGISTRADORA ROSA   ;5;0;0,0%
AC;RZ0203820100R3U;Mousepad Razer Sphex V3 Ultra Fino Preto Pequeno (270x215 mm)   ;5;0;0,0%
AC;RZ0104650100R3U;;5;3;60,0%
AU;P3348;AUTORADIO EVOLVE BLUETOOTH 4X35W 2 ENTRADAS USB/FM/AUX/MP3   ;5;0;0,0%
PC;UB432;NOTEBOOK ULTRA MULTILASER 14 POL CORE I3 7A GERAÇÃO 4GB 1TB HDD LINUX PRATA   ;5;0;0,0%
BR;BR1601;;5;5;100,0%
AC;KP002;;5;5;100,0%
DC;DJI054;Drone DJI Air 3S Standard (Sem tela) BR   ;5;0;0,0%
DC;DJI1051;Controle Remoto DJI RC-N3 (DJI Neo/DJI Flip/Mini 4 Pro/Mini 5 Pro/Air 3/Air 3S) BR   ;5;4;80,0%
AC;MO420;Mouse Warrior Rolf com fio - 8/14 botões - RGB -10000DPI - Pixart 3327 - Preto   ;5;0;0,0%
AC;TC249;COMBO WARRIOR KYLER TECLADO E MOUSE ARMY   ;5;5;100,0%
VM;WS50G_BW;AUTOPROPELIDO WS50 CINZA WATTS   ;5;0;0,0%
HC;HC498;TERMOMETRO MULTIFUNCOES - TESTA OUVIDO E OBJETOS   ;5;0;0,0%
BR;BR2198;PELÚCIA STITCH HAWAII C/ MECANISMO LUZ E SOM 30CM   ;5;0;0,0%
AC;EN011A;BATERIA MULTI 12V ALARME M3 BC 124   ;5;0;0,0%
BR;BR1108;CREATIVE FUN MINI FEIRINHA DIVERTIDA LEGUMES   ;5;3;60,0%
AC;MO399;Mouse Warrior Legacy com fio - 7 botões - Rainbow - 3.600 DPI - Preto   ;5;5;100,0%
AC;RZ0104630200;;5;0;0,0%
AC;RZ0104630100R3U;Mouse Razer DeathAdder V3 Pro - Wireless - Preto   ;5;0;0,0%
AC;RZ3805310100;Cadeira Gamer Razer Iskur V2 X Preto   ;5;0;0,0%
BR;BR1923;;5;5;100,0%
BR;BR2264;HOT WHEELS TRACK RIPPER 42CM FRICÇÃO COM LUZ E SOM AZUL   ;5;5;100,0%
AC;TBB565;TBB565: MOCHILA TARGUS INTELLECT PARA NOTEBOOKS ATÉ 15,6 POLEGADAS COM 1 COMPARTIMENTO PRINCIPAL ACOLCHOADO PARA NOTEBOOK E DOIS BOLSOS FRONTAIS   ;5;0;0,0%
ME;PD053;;5;5;100,0%
AC;SP144;;5;5;100,0%
AC;AC355;TELA DE PROJECAO RETRATIL ELETRICA 203 X 152CM 220V   ;5;0;0,0%
DC;DJI051;;5;0;0,0%
TE;NK038;;5;5;100,0%
TE;NK040;;5;5;100,0%
SO;SP353;;5;0;0,0%
SO;SP354;;5;0;0,0%
AC;AC259;AC. SUPORTE PLANO DE FERRO PARA TV LED E LCD- 32 ATE 50POL   ;5;0;0,0%
DC;DJI1042;Controle Remoto DJI Motion 3 (DJI Neo/Avata 2/Air 3/Mini 4 Pro) BR   ;5;0;0,0%
BB;BB618;;4;0;0,0%
IC;HKM256P81A;SSD HIKVISION 256 GB M.2 2280 NVME PCIE   ;4;0;0,0%
BR;BR1109;CREATIVE FUN FEIRINHA DIVERTIDA LEGUMES   ;4;0;0,0%
BR;BR2447;1:16 HOT WHEELS RC LUZES DE CORRIDA - AZUL   ;4;1;25,0%
BR;BR1875;;4;4;100,0%
BR;BR2559;MOCHILA CONSULTORIO DA MINNIE LASA   ;4;0;0,0%
AC;BO445;Pasta para Notebook Classic 15.6 Pol Preta Multilaser - BO445   ;4;0;0,0%
EP;UD350;ELEFANTE DECORATIVO RAJ POLIRESINA UPHOME   ;4;0;0,0%
EP;CE142;TORRADEIRA RED 220V   ;4;0;0,0%
ED;WO-51CDBR;Cuisinart Saca-rolhas Recarregável Preto Bivolt   ;4;0;0,0%
AC;EN017;;4;0;0,0%
AC;RF002;REFIL DE TINTA CIANO HP 100ML   ;4;0;0,0%
NB;NB360;TABLET M7 (3G/32GB) - PRETO   ;4;4;100,0%
IC;HIM324U081A;;4;0;0,0%
AC;EI113;Lapiseira Juice 0.7mm Cores Sortidas Pote c/ 24UN Keep - EI113   ;4;0;0,0%
EP;BE03;;4;1;25,0%
AC;GS0376;MINI CAMERA IP 2MP (COLMEIA)   ;4;0;0,0%
NB;NB364;TABLET M10 (3G/32GB) - PRETO   ;4;0;0,0%
AC;TC212T;COMBO SEM FIO CS400 USB 3BOT 1200DPI SLIM COMPACTO SILENCIOSO PT   ;4;0;0,0%
AC;WI456;CABO LIGHTNING 2M BRANCO (IPHONE)   ;4;4;100,0%
SO;SP606;;4;4;100,0%
AC;BO434;;4;4;100,0%
VD;TL073M;SMART TV 55 POL QLED 4K ANDROID MULTI   ;4;3;75,0%
EP;GO224;AIR FRYER DIGITAL 7L VISOR GOURMET 220V   ;4;4;100,0%
ME;PD852;;4;0;0,0%
NB;NB412;TABLET KID PAD LARANJA 64 GB   ;4;0;0,0%
BR;BR2282;;4;0;0,0%
BR;BR1647;EVOLUTION CAR R/C TORSIONAL - AZUL   ;4;0;0,0%
AC;EI122;Mina de Grafite HB 0.9mm 12 Minas Caixa C/ 12 Tubos Keep - EI122   ;4;0;0,0%
AC;EI099;Lapis Preto HB com Borracha Caixa c/ 12UN Keep - EI099   ;4;0;0,0%
DC;DJI1044;Controle Remoto DJI FPV 3 (DJI Avata 2/DJI Neo) BR   ;4;0;0,0%
PC;UB260;;4;0;0,0%
BR;BR1332;MY STYLE BEAUTY - ESPELHO GLAMOUR   ;4;0;0,0%
AC;MO331;;4;0;0,0%
EP;HO050;SERRA MARMORE 1200W 127V   ;4;0;0,0%
AC;EN074;;4;0;0,0%
EP;BE04;;4;0;0,0%
BR;BR1716;;4;4;100,0%
TE;P9152;SMARTPHONE MULTILASER F PRO 2 PRETO   ;4;0;0,0%
BR;BR2466;;4;0;0,0%
BR;BR1420;CRYBABIES MINNIE   ;4;0;0,0%
AC;SE238;Camera Smart Wifi 1080p portatil a bateria   ;4;0;0,0%
AC;CT450U;CARTUCHO TONER MULTILASER UNIV P/ BROTHER TN410/420/450   ;4;0;0,0%
EP;CE193;;4;0;0,0%
AC;RF010;REFIL DE TINTA CIANO HP 250ML   ;4;0;0,0%
AC;RF012;REFIL DE TINTA AMARELO HP 250ML   ;4;0;0,0%
AC;RF011;REFIL DE TINTA MAGENTA HP 250ML   ;4;0;0,0%
BR;BR2570;ESMALTERIA DUO BARBIE LASA   ;4;0;0,0%
AC;SE229TM;;4;0;0,0%
AC;JS0092;Controle Warrior Ultra Pro Bluetooth - Branco - Nintendo Switch e PC   ;4;0;0,0%
SO;OB003;CAIXA DE SOM MULTIUSO SP217 EXCLUSIVO   ;4;0;0,0%
EP;EB143;;4;0;0,0%
EF;LQ1211;LIQUIDIFICADOR MULTI TURBO LQ1200 1.200W 127V CINZA 8 VELOCIDADES COPO 2,6 LITROS   ;4;0;0,0%
BB;BB474;;4;0;0,0%
AC;MO386;MOUSE COM FIO MF400 USB 1200DPI 3BOT SLIM SILENCIOSO 180CM PT   ;4;0;0,0%
BR;BR1767;PLAY & LEARN - LOUSA MAGNÉTICA E QUADRO NEGRO 2 EM 1   ;3;0;0,0%
BR;BR1567;;3;3;100,0%
BR;BR1110;CREATIVE FUN SUPER FEIRA LEGUMES   ;3;0;0,0%
BR;BR2230;EXPRESS WHEELS MOTO LANÇADORA - 3 MODELOS SORTIDOS   ;3;2;66,7%
BR;BR2399;PROJETOR DE DESENHOS - BARBIE   ;3;0;0,0%
DC;DJI132;Estabilizador DJI Osmo Mobile 7P BR   ;3;3;100,0%
EP;UD191;PEGADOR MULTIUSO EM INOX E SILICONE 30CM VERMELHO UPHOME   ;3;0;0,0%
BR;BR2071;MINI PING PONG   ;3;2;66,7%
HC;HC607;;3;0;0,0%
EP;GO123;OMELETEIRA ELETRICA 220V   ;3;0;0,0%
BR;BR2048;;3;3;100,0%
AC;EI080;;3;3;100,0%
SO;SP600;CAIXA DE SOM BAZOOKA MULTILASER LED 70W BT/AUX/USB/TWS   ;3;3;100,0%
NB;NB311;;3;0;0,0%
SO;SP391;;3;0;0,0%
SO;SP604;PULSE SOUNDBAR + SUBWOOFER WIRELESS 300W BT/AUX/HDMI(ARC)/OPTICO/USB   ;3;3;100,0%
TE;P9155;;3;2;66,7%
AC;RZ0201910200;;3;3;100,0%
DC;DJI208;Câmera de Ação DJI Osmo Action 4 Adventure Combo BR   ;3;0;0,0%
HC;HC260;TERMOMETRO INFRAVERMELHO SEM CONTATO   ;3;0;0,0%
EF;LQ1001;;3;2;66,7%
EP;UD270;GARRAFA PARA WHISKY/LICOR EM VIDRO 900ML   ;3;0;0,0%
ED;77-7P1BR;Cuisinart Jogo de Panelas Chef´s Classic em Aço Inox para Indução 7 Peças   ;3;0;0,0%
AC;TC240;KIT COMBO TECLADO E MOUSE COM FIO CF200 12 TECLAS MULTIMÍDIA CONEXÃO USB CABO DE 150CM 1200DPI TECLAS CHOCOLATE E SILENCIOSAS PRETO   ;3;0;0,0%
EP;EB036;;3;0;0,0%
AC;BO426;Mochila Multilaser Safe Para Notebook Ate 15.6 Pol Preta - BO426   ;3;1;33,3%
BR;BR1620;CUBIC 25 EM 1 - AVIÃO DE COMBATE 576 PEÇAS   ;3;0;0,0%
HC;HC125;OLEO ESSENCIAL DE GERANIO 10ML   ;3;0;0,0%
EP;AU900;;3;0;0,0%
EP;GO120;GRILL 2 EM 1 127V 1500W   ;3;2;66,7%
BR;BR1824;HOT WHEELS CARROS FLASH LARANJA COM LUZ E SOM   ;3;2;66,7%
NB;NB356;;3;0;0,0%
BR;BR2134;;3;3;100,0%
DC;DJI123;DJI SDR Transmission Combo BR   ;3;0;0,0%
DC;DJI215;Câmera de Ação DJI Osmo 360 Adventure Combo BR   ;3;0;0,0%
BR;BR1715;;3;3;100,0%
BR;BR2353;;3;3;100,0%
BR;BR2562;MOCHILA DE BELEZA DAS PRINCESAS DISNEY LASA   ;3;0;0,0%
BR;BR2561;MOCHILA FERRAMENTAS DO MICKEY LASA   ;3;0;0,0%
BR;BR2563;MOCHILA PET SHOP DO PLUTO E MICKEY LASA   ;3;0;0,0%
BR;BR1296;MALETA DE VIAGEM MINNIE MÉDICA PLAY SET 3 EM 1   ;3;0;0,0%
AC;PE038;;3;0;0,0%
TE;P9133;;3;3;100,0%
AC;EI123;;3;0;0,0%
TE;NK110;;3;3;100,0%
SO;SP616;RETRO PULSE SUITCASE VITROLA DAVIS 15W BT/AUX/USB   ;3;2;66,7%
EP;GO045;CAFETEIRA 2 XICARAS 127V COM FILTRO PERMANENTE   ;3;0;0,0%
NB;NB430;TABLET M11 4G 8+128GB C/ CANETA ATIVA E CASE MAGNETICA   ;3;0;0,0%
PC;DT024;DESKTOP CELERON J1800, 4GB RAM, 500GB HD, LINUX   ;3;0;0,0%
BB;5079340400000;;2;0;0,0%
BB;BB493;;2;0;0,0%
BB;BB406;;2;0;0,0%
BB;BB407;;2;0;0,0%
BB;79835720070;;2;0;0,0%
BB;BB388;;2;0;0,0%
BB;BB389;;2;0;0,0%
BB;BB404;;2;0;0,0%
BB;7087142610000;;2;0;0,0%
ME;DV047;;2;0;0,0%
BR;BR2491;Mini Jogo De Hockey De Mesa   ;2;0;0,0%
AC;MR068;;2;0;0,0%
EP;UD351;ELEFANTE DECORATIVO BABBAR POLIRESINA UPHOME   ;2;0;0,0%
EP;UD352;ELEFANTE DECORATIVO MAYA POLIRESINA UPHOME   ;2;0;0,0%
EP;UD353;ELEFANTE DECORATIVO GEOMÉTRICO POLIRESINA UPHOME   ;2;0;0,0%
EP;HO051;;2;0;0,0%
EP;EB142;;2;2;100,0%
EP;GO121;GRILL 2 EM 1 220V 2000W   ;2;0;0,0%
EF;LQ1103;;2;2;100,0%
NB;NB341;;2;2;100,0%
DC;DJI1062;Hub de carregamento DJI Flip BR   ;2;0;0,0%
EP;HO431;ASPIRADOR DE PÓ VERTICAL DUO CYCLONE 2 EM 1 220V 1250W COM FUNÇÃO CICLONE, FILTRO LAVÁVEL E CAPACIDADE DE 1L, BOCAL PARA CANTOS E FRESTAS, BOCAL PARA ESTOFADOS, INTERRUPTOR DUPLO   ;2;0;0,0%
BR;BR951;GO PLAY KIT BASKETBALL C/ PEDESTAL AJUSTAVEL, BOLA E BOMBA   ;2;0;0,0%
SO;SP603;PULSE MINI PULSEBOX 30W AUX/SD/BT5.0   ;2;2;100,0%
AC;RZ0304460200R3U;;2;2;100,0%
TE;P9077;CELULAR UP PLAY BRANCO   ;2;1;50,0%
AC;EI079;;2;2;100,0%
AC;GS0506;CÂMERA BUL PLAST 720P 2.6MM 20M M1 AB120   ;2;0;0,0%
NB;NB390;NOVO TABLET M7 WIFI PRETO   ;2;0;0,0%
AC;RZ0303930200R3U;;2;2;100,0%
SO;PH426;;2;2;100,0%
AC;BO432;;2;2;100,0%
AC;CB171;LUMINARIA COM CARREGAMENTO WIRELESS   ;2;0;0,0%
AC;SE232;Sirene de Alarme Inteligente Wi-Fi Liv   ;2;0;0,0%
BB;BB498;;2;0;0,0%
EF;LQ1212;;2;2;100,0%
AC;SE235;;2;0;0,0%
SO;SP622;;2;0;0,0%
AC;GS0504;CÂMERA BUL PLAST 1080P 3.6MM 20M M1 AB220   ;2;0;0,0%
PR;PR10392;;2;0;0,0%
EP;GO139;;2;0;0,0%
EP;CE149;;2;0;0,0%
PC;UB431;;2;0;0,0%
DC;DJI1072;Hub de carregamento DJI Mini 5 Pro BR   ;2;0;0,0%
AC;JS091;;2;0;0,0%
VD;TL056;;2;0;0,0%
VD;TL046;;2;0;0,0%
BR;BR2306;CUBIC - CAMINHÃO DE BOMBEIROS 192 PEÇAS   ;2;0;0,0%
NB;NB373;TABLET GALINHA PINTADINHA - AZUL   ;2;0;0,0%
TE;NK006;;2;0;0,0%
EP;CE047;;2;2;100,0%
DC;DJI1054;Bateria de voo Inteligente DJI Neo BR   ;2;0;0,0%
DC;DJI1060;DJI Goggles N3 (DJI Neo) BR   ;2;0;0,0%
EP;CE154;;2;0;0,0%
AC;GS0160;;2;0;0,0%
AC;SE302;;2;0;0,0%
AC;RZ0402950100R38;;2;0;0,0%
AC;RZ1905050300;Microfone Razer Seiren V3 Mini - Ultra Compacto - USB - Branco   ;2;0;0,0%
EP;GO009;MIXER PRETO 200W 1 VELOCIDADE 127V   ;2;2;100,0%
EP;HO457;;2;0;0,0%
EP;GO212;;2;0;0,0%
BR;BR2493;;2;2;100,0%
BR;BR2330;;2;2;100,0%
BR;BR2307;CUBIC - HELICÓPTERO DE COMBATE A INCÊNDIOS NA FLORESTA 325 PEÇAS   ;2;0;0,0%
BR;BR1616;CUBIC 25 EM 1 POLÍCIA SWAT ROBOT 600 PEÇAS   ;2;0;0,0%
TE;P9207;;2;0;0,0%
AC;RZ0303940200;Teclado Razer Huntsman V2 Tenkeyless Preto - Switch Red - Layout US   ;2;0;0,0%
AC;RZ0303390500;Teclado Razer Huntsman Mini 60% Preto - Switch Purple - Layout US   ;2;0;0,0%
BR;BR2249;;2;0;0,0%
BR;BR2251;;2;0;0,0%
BB;BB1077;KIT 3 FRASCOS PARA ARMAZENAR LEITE 150 ML MOMS ESSENTIALS FISHER PRICE   ;2;0;0,0%
HC;HC217;DIFUSOR DE AROMAS BRANCO COM ILUMINACAO LED VARIAVEL   ;2;0;0,0%
BR;BR2099;BONECA BFF BY CRY BABIES - SÉRIE TALENTS 5 MODELOS SORTIDOS   ;2;0;0,0%
NB;NB370;TABLET FROZEN - ROSA   ;2;0;0,0%
ME;PD054;PENDRIVE NANO PRETO 16GB   ;2;2;100,0%
AC;BO442;;2;0;0,0%
TE;P9145;;2;2;100,0%
EP;EB126;;2;0;0,0%
BR;BR949;GO PLAY KIT TENIS COM 2 RAQUETES E BOLINHA   ;2;0;0,0%
AC;CB082;;2;0;0,0%
AC;PE045;PAPEL FOTOGRÁFICO MATTE A4 180G 20 FOLHAS   ;2;0;0,0%
DC;DJI1002;Hélices DJI (DJI Mini 2/SE/2 SE/4K) (2 Pares) BR   ;2;0;0,0%
WN;ES223;EXTENSOR FITNESS COM ALCA CINZA/PRETO   ;2;0;0,0%
TE;NK016;;2;2;100,0%
TE;NK121;;2;2;100,0%
TE;OB018;;2;2;100,0%
TE;P9097;;2;2;100,0%
TE;P9107;;2;2;100,0%
TE;P9151;;2;2;100,0%
VD;PJ002;;2;0;0,0%
SO;SP344;;2;2;100,0%
AC;EI093;Caneta Esferográfica Ponta Média 1,0mm Preta Caixa c/ 50UN Keep   ;2;0;0,0%
TE;P9148;;2;2;100,0%
SO;PH217;;2;0;0,0%
SO;SP245;;2;0;0,0%
AC;CB164;;2;0;0,0%
DC;DJI1045;Bateria de voo inteligente DJI Avata 2 BR   ;2;2;100,0%
DC;DJI217;Câmera de Ação DJI Osmo Action 6 Standard BR   ;2;0;0,0%
DC;DJI1030;Carregador USB-C DJI 65W   ;2;0;0,0%
DC;DJI203;;2;0;0,0%
DC;DJI111;Estabilizador DJI RS 3 Mini BR   ;2;0;0,0%
ED;CRC-800BR;Cuisinart Panela Elétrica para Arroz. Grãos e Vapor em Aço Inox 127V   ;2;0;0,0%
BB;BB1078;PORTA CHUPETAS SOFT FISHER PRICE AZUL   ;2;0;0,0%
BB;BB1242;;2;0;0,0%
BR;BR1334;CUBIC EQUIPE DA POLÍCIA 460 PEÇAS   ;2;0;0,0%
EP;UD053;ESPATULA PAO DURO DE SILICONE CABO ACRILICO VERMELHA UPHOME   ;2;0;0,0%
EP;UD067;PEGADOR DE MASSA DE SILICONE CABO INOX PRETO UPHOME   ;2;0;0,0%
EP;UD066;CONCHA DE SILICONE CABO INOX PRETA UPHOME   ;2;0;0,0%
BR;BR1333;MY STYLE BEAUTY - SUPER KIT PRINCESA   ;2;0;0,0%
EP;AU500;;2;0;0,0%
SO;PH438;;2;0;0,0%
AC;SE234;;1;0;0,0%
AC;SE225;;1;0;0,0%
BB;BB717;;1;0;0,0%
EP;CE165;;1;0;0,0%
EF;LQ1004;;1;0;0,0%
WN;GY113V3;;1;1;100,0%
WN;GY113V1;;1;1;100,0%
AC;CP118S;;1;0;0,0%
WN;EM028V1;;1;1;100,0%
WN;EM028V2;;1;1;100,0%
WN;EM420V1;;1;1;100,0%
WN;EM420V2;;1;1;100,0%
DC;DJI062;Drone DJI Mavic 4 Pro Standard (Com tela) BR   ;1;1;100,0%
BR;BR2541;PROJETOR DE DESENHOS BARBIE RH   ;1;1;100,0%
BR;BR2284;CUBIC JIPE OFF-ROAD 253 PEÇAS   ;1;1;100,0%
BR;BR2021;BONECA ARIEL HORA DO BANHO COM ESCOVA 38CM   ;1;0;0,0%
BR;BR2368;EVOLUTION FORMULA 1 - SUPER STUNT DRIFT - VERMELHO - 35CM   ;1;0;0,0%
PC;UB843;"ALL IN ONE UB843 i3 10110U 8GB SSD 256GB Windows 11 Home 23.8""   ";1;0;0,0%
EP;UD272;CONJUNTO BALDE DE GELO COM 2 COPOS EM VIDRO   ;1;0;0,0%
BR;BR1564;MALETA MICKEY CONSTRUTOR COM 11 ACESSÓRIOS   ;1;0;0,0%
EP;GO042;CAFETEIRA 30 XICARAS JARRA INOX 220V   ;1;0;0,0%
BR;BR1614;CUBIC 25 EM 1 CITY BRIGADA DE INCÊNCIO 572 PEÇAS   ;1;0;0,0%
AC;RZ0303390200R3M;;1;1;100,0%
AC;RZ1904050100R3X;;1;1;100,0%
AC;TBS92602GL;MALETA PARA NOTEBOOKS CYPRESS SLIM ECOSMART TARGUS 1 COMPARTIMENTO ACOLCHOADO 14 POLEGADAS 1 COMPARTIMENTO PARA ACESSÓRIOS TOTALMENTE FEITO DE MATERIAL RECICLADO ALÇAS ACOLCHOADAS CINZA   ;1;1;100,0%
AC;TBO00206GL;;1;1;100,0%
AC;KP003;;1;1;100,0%
AC;RZ0603560100R3U;Controle Razer Wolverine V2 (Xbox One, Series X e PC) - Preto - Com fio   ;1;1;100,0%
AC;RZ0104640100R3M;;1;1;100,0%
AC;JS087;;1;1;100,0%
NB;NB368;TABLET MINNIE - PRETO E ROSA   ;1;1;100,0%
SO;P9203;;1;1;100,0%
AC;SP377;;1;1;100,0%
EF;VL302;;1;1;100,0%
WN;EM010;TORRE PRETA PARA 10 PARES DE HALTERES WELLNESS (HALTERES NÃO INCLUSOS)   ;1;1;100,0%
WN;EM205;;1;1;100,0%
WN;WK089;KIT 10 PARES HALTERES 1.00 A 10.00KG EMBORRACHADOS HEXAGONAL WELLNESS (ESTANTE EM010 NÃO INCLUSA)   ;1;1;100,0%
WN;WK157;KIT 5 PARES DUMBBELLS 12.00 A 20.00KG EMBORRACHADOS WELLNESS (ESTANTE EM383 NÃO INCLUSA)   ;1;1;100,0%
WN;WK158;KIT 5 PARES DUMBBELLS 22.00 A 30.00KG EMBORRACHADOS WELLNESS (ESTANTE EM383 NÃO INCLUSA)   ;1;1;100,0%
WN;EM240;;1;1;100,0%
WN;EM345;;1;1;100,0%
WN;EM354;;1;1;100,0%
WN;GY076;;1;1;100,0%
WN;EM379;;1;1;100,0%
AC;EI161;;1;0;0,0%
SO;27688;;1;0;0,0%
AC;EI116;Lapiseira Candy 0.7mm Com Grip Emborrachado Cores Sortidas Pote c/ 24UN Keep - EI116   ;1;0;0,0%
ME;MC150;;1;113;11300,0%
AC;PH337;MICROFONE WARRIOR ELOY STREAMING USB   ;1;0;0,0%
AC;RZ0403240100R;Headset Razer BlackShark V2 X P3 Preto - Com fio   ;1;1;100,0%
SO;SP623;;1;1;100,0%
AC;CB161;;1;1;100,0%
AC;BO435;;1;1;100,0%
AC;AC395;;1;1;100,0%
PG;UL214XI5;NOTEBOOK ULTRA NOTEBOOK UL214XI5 256GB 8GB 14 FHD WINDOWS 11 PRO   ;1;0;0,0%
BB;BB472;ASSENTO ELEVATÓRIO PARA REFEIÇÃO LOLLIPOP AZUL   ;1;0;0,0%
DC;DJI140;Estabilizador DJI RS 5 Standard BR   ;1;0;0,0%
VD;TL042;;1;0;0,0%
VD;TL028;;1;0;0,0%
ME;MC172;;1;0;0,0%
EP;GO222;;1;0;0,0%
PP;PP258;;1;0;0,0%
